Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
WKHUCAQD,journalArticle,2019,"Hao, Yungwei; Lee, Kathryn S.; Chen, Szu-Ting; Sim, Sin Chie",An evaluative study of a mobile application for middle school students struggling with English vocabulary learning,Computers in Human Behavior,,0747-5632,10.1016/j.chb.2018.10.013,https://www.sciencedirect.com/science/article/pii/S0747563218304977,"This study evaluated the effectiveness of a mobile application (app) designed within the framework of cognitive apprenticeship, in order to facilitate students struggling with learning English as a foreign language (EFL). The participants were ten seventh-graders, who were performing significantly below grade level in their EFL classroom. The research questions targeted changes in learning outcomes with the aid of the app, attitudes the participants had towards the learning experience, and student perceptions regarding the design of the app. Data were collected by interviews, observation, surveys, and exams. The results indicated use of the app enhanced EFL learning. Not only did the app provide a feasible path for the students moving from individual learning to cooperative learning, it also bolstered their confidence in learning, ultimately promoting positive attitudes toward EFL learning. Finally, the design of the app was confirmed as an effective tool for mobile instruction, yet student perceptions of the interface design indicated a need for modification to be more adaptive. The findings confirm the legitimacy of the app's instructional design and may provide evidence-based learning materials to scaffold EFL learning.",2019-06-01,2023-07-28 12:52:32,2023-07-28 12:52:32,2023-07-28 12:52:32,208-216,,,95,,Computers in Human Behavior,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\iftek\Zotero\storage\UKRY43HT\S0747563218304977.html,,,APP; English as a foreign language (EFL); Low student performance; Middle school; Mobile learning; Technology integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHCRIEE9,journalArticle,2019,"Kacetl, Jaroslav; Klímová, Blanka",Use of Smartphone Applications in English Language Learning—A Challenge for Foreign Language Education,Education Sciences,,2227-7102,10.3390/educsci9030179,https://www.mdpi.com/2227-7102/9/3/179,"At present, hardly any younger person can imagine life without mobile technologies. They use them on a daily basis, including in language learning. Such learning supported with mobile devices is called mobile learning, which seems beneficial especially thanks to the unique features of mobile applications (e.g., interactivity, ubiquity, and portability) and teachers’ encouragement and feedback. The purpose of this review study is to explore original, peer-reviewed English studies from 2015 to April 2019 and to determine whether mobile applications used in the learning of English as a foreign language are beneficial and/or effective. The methods are based on a literature review of available sources found on the research topic in two acknowledged databases: Web of Science and Scopus. Altogether, 16 original journal studies on the research topic were detected. The results reveal that mobile learning is becoming a salient feature of education as it is a great opportunity for foreign language learning. Its key benefits are as follows: the enhancement of the learner’s cognitive capacity, the learner’s motivation to study in both formal and informal settings, the learner’s autonomy and confidence, as well as the promotion of personalized learning, helping low-achieving students to reach their study goals. Although mobile learning seems to be effective overall, it is desirable to design, plan and implement it with caution, according to students’ needs, and to deliver multiple language skills in authentic learning environments.",2019-09,2023-07-28 12:52:46,2023-07-28 12:52:46,2023-07-28 12:52:46,179,,3,9,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 3 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\iftek\Zotero\storage\G68UJX6T\Kacetl and Klímová - 2019 - Use of Smartphone Applications in English Language.pdf,,,benefits; English learning; mobile apps; mobile learning; use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76ECBJMV,journalArticle,2023,"Yu, Zhonggen; Xu, Wei; Sukjairungwattana, Paisan","Motivation, Learning Strategies, and Outcomes in Mobile English Language Learning",The Asia-Pacific Education Researcher,,2243-7908,10.1007/s40299-022-00675-0,https://doi.org/10.1007/s40299-022-00675-0,"An increasing number of studies have been committed to the effectiveness of mobile learning applications. This study examined motivation, learning strategies, learning outcomes, and their mutual correlations in mobile English language learning via two experiments. Results suggested that in mobile English language learning, (a) motivation was significantly stronger than in traditional English language learning; (b) students adopted significantly more learning strategies than in traditional English language learning; (c) learning outcomes were significantly better than in traditional English language learning; and (d) motivation, learning strategies, and learning outcomes were positively correlated in both learning approaches at the significance level .025. Although it is necessary to further identify the underlying mechanisms, findings suggest interdisciplinary cooperation in future research.",2023-08-01,2023-07-28 12:53:07,2023-07-28 12:53:07,2023-07-28 12:53:07,545-560,,4,32,,Asia-Pacific Edu Res,,,,,,,,en,,,,,Springer Link,,,,"C:\Users\iftek\Zotero\storage\4D46MFV5\Yu et al. - 2023 - Motivation, Learning Strategies, and Outcomes in M.pdf",,,Learning outcomes; Learning strategies; Mobile English language learning; Motivation; Traditional English language learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33ZQ2ZK7,journalArticle,2023,"Shortt, Mitchell; Tilak, Shantanu; Kuznetcova, Irina; Martens, Bethany; Akinkuolie, Babatunde",Gamification in mobile-assisted language learning: a systematic review of Duolingo literature from public release of 2012 to early 2020,Computer Assisted Language Learning,,0958-8221,10.1080/09588221.2021.1933540,https://doi.org/10.1080/09588221.2021.1933540,"More than 300 million people use the gamified mobile-assisted language learning (MALL) application (app) Duolingo. The challenging tasks, reward incentives, systematic levels, and the ranking of users according to their achievements are just some of the elements that demonstrate strong gamification elements within this popular language learning application. This application’s pervasive reach, flexible functionality, and freemium business model has brought significant attention to gamification in MALL. The present systematic review aims to summarize different methods, frameworks, settings, and research samples used to assess Duolingo’s design and impact on various learning outcomes. We carried out a complete database search for articles focused on the issues of design, application, and pedagogies in the use of Duolingo. Three hundred and sixty-seven records were initially found, and 35 of those were selected for final inclusion based on language choice, theoretical frameworks, design, sampling, data collection, and analyses (see Appendix 1 for full list). The results indicated that the majority of research from 2012-2020 was design-focused, quantitative in nature, and used non-probability sampling methods. The focus on app design marks an emphasis on the creation of tools rather than the process and outcomes of language learning from using these tools. Additional results revealed preferences for performance-based research questions, for English as language of choice in research, and for the USA as the most prominent context for Duolingo research studies. Furthermore, our review highlights research gaps specific to Duolingo, yet generalizable to other MALL applications. The results are useful to researchers seeking to assess, evaluate, and understand MALL, gamification, and Duolingo as well as to practitioners interested in utilizing MALL in formal and informal learning environments.",2023-03-04,2023-07-28 12:53:34,2023-07-28 12:53:34,2023-07-28 12:53:34,517-554,,3,36,,,Gamification in mobile-assisted language learning,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/09588221.2021.1933540,,C:\Users\iftek\Zotero\storage\VQJVTWPS\Shortt et al. - 2023 - Gamification in mobile-assisted language learning.pdf,,,Systematic review; CALL; MALL; design; Duolingo; language learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMNZ8STR,journalArticle,2019,"Poláková, Petra; Klímová, Blanka",Mobile Technology and Generation Z in the English Language Classroom—A Preliminary Study,Education Sciences,,2227-7102,10.3390/educsci9030203,https://www.mdpi.com/2227-7102/9/3/203,"Every generation of students has different characteristics that reflect the conditions of the time period they were growing in. It is important for educators from all fields of study, especially English language teachers, to understand the generational differences and the learning preferences of students in order to create productive learning environments. In today’s technology driven era, students have different learning needs in comparison with their predecessors. To enhance language learning in the new generation, it is recommended to use mobile technology in class. Mobile devices and applications offer a wide range of activities that support language learning. The aim of this study was to discover if the students using mobile devices in the class got higher scores in tests than the students using traditional methods. The methods included pre- and post-tests, as well as a questionnaire survey. The results of this study reveal that the use of a mobile application had a positive effect on students’ achievement results as far as the vocabulary learning was concerned. The students using the app seemed to retain more words than the students in the control group. Furthermore, the results of the questionnaire showed that using the app was more enjoyable for students than the traditional teaching methods. In addition, it contributed to collaborative learning. However, the results also indicate that being a Generation Z student does not make him/her automatically interested in using mobile applications in the process of language acquisition. Considering the small number of participants, further studies are planned to confirm the results from the current preliminary study.",2019-09,2023-07-28 12:53:40,2023-07-28 12:53:40,2023-07-28 12:53:40,203,,3,9,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 3 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\iftek\Zotero\storage\NBAA2I9I\Poláková and Klímová - 2019 - Mobile Technology and Generation Z in the English .pdf,,,mobile learning; constructivism; Generation Z; mobile learning application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGIT3Y6N,journalArticle,2020,"Hoi, Vo Ngoc",Understanding higher education learners' acceptance and use of mobile devices for language learning: A Rasch-based path modeling approach,Computers & Education,,0360-1315,10.1016/j.compedu.2019.103761,https://www.sciencedirect.com/science/article/pii/S0360131519303148,"The widespread use of mobile devices and the wider coverage of wireless networks offer the educational sectors various alternatives in enhancing learning and teaching. Mobile assisted language learning (MALL) emerges from this trend and draws traction from relevant stakeholders. While much research has been done on the application of mobile technologies in promoting language learning, and the educational practices that foster that learning approach, relatively little empirical evidence has been given to understand the acceptance and use of MALL by higher education learners, particularly in the context of a developing country. This study sought to fill this gap by applying the modified version of the Unified Theory of Acceptance and Use of Technology (UTAUT). Survey data from 293 higher education learners from Vietnam were analyzed by the Rasch-based path model. Results indicated the important roles of attitude and performance expectancy in predicting learners' behavior intention and their usage of MALL. Facilitating condition was found to have no direct effect on learners' usage of MALL, representing a departure from the literature. The findings offered implications regarding the use of the UTAUT as an appropriate model for examining MALL acceptance, the improvement of technical and organizational supports, as well as the need for more empirical studies on the instructional approaches that foster the use of MALL, particularly in the context of a developing country like Vietnam.",2020-03-01,2023-07-28 12:53:56,2023-07-28 12:53:56,2023-07-28 12:53:56,103761,,,146,,Computers & Education,Understanding higher education learners' acceptance and use of mobile devices for language learning,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\iftek\Zotero\storage\7ISGV6DH\Hoi - 2020 - Understanding higher education learners' acceptanc.pdf,,,Mobile learning; Applications in subject areas; Pedagogical issues; Post-secondary education; Teaching/learning strategies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YEGBRIZ,journalArticle,2019,"Elaish, Monther M.; Shuib, Liyana; Ghani, Norjihan Abdul; Yadegaridehkordi, Elaheh",Mobile English Language Learning (MELL): a literature review,Educational Review,,0013-1911,10.1080/00131911.2017.1382445,https://doi.org/10.1080/00131911.2017.1382445,"English has increasingly become an essential second language as well as a language for international communication. However, there is little research that examines the dimensions of mobile learning for both researchers and instructional designers and focuses on effective uses of the latest mobile learning technologies for education. There have been no reviews of research on mobile English learning. This paper aims to provide a comprehensive analysis of the research on Mobile English Language Learning (MELL) material to initiate an evidence-based discussion on the usage of mobile learning in English language education. Findings from existing literature show that studying and reviewing mobile learning leads to a deeper understanding of its effect and possibilities with respect to learning the English language. Additionally, findings also indicate that when it comes to English language skills, vocabulary is the most-used skill, and the most common problem that studies mention is that of motivation. Further studies need to investigate other terms and keywords that reflect on the use of mobile learning.",2019-03-04,2023-07-28 12:54:05,2023-07-28 12:54:05,2023-07-28 12:54:05,257-276,,2,71,,,Mobile English Language Learning (MELL),,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/00131911.2017.1382445,,,,,Mobile learning; English language learning; literature review; trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29JM3WAR,journalArticle,2019,"Klimova, Blanka",Impact of Mobile Learning on Students’ Achievement Results,Education Sciences,,2227-7102,10.3390/educsci9020090,https://www.mdpi.com/2227-7102/9/2/90,"Today, mobile learning is a well-established methodology thanks to its countless benefits such as accessing learning content anytime and anywhere, adjusting the content to students’ needs, and timely feedback. The purpose of this pilot study is to illustrate that foreign language learning supported by a personalized smartphone app can be effective in the enhancement of university students’ performance by implementing smartphone app learning in a continuous assessment. The methodology is a case study analysis of students’ needs, with statistical processing of the collected data. The results reveal that foreign language learning, particularly studying and revising English vocabulary and phrases via smartphones is effective in the enhancement of university students’ performance. However, such learning must be designed around students’ needs and continuously facilitated by a teacher. Only then can it contribute to positive learning outcomes. In addition, the results also confirm that mobile learning can serve as an appropriate complementary method to other forms of course delivery. Further research should extend the mobile app to the Apple platform and iOS.",2019-06,2023-07-28 12:54:11,2023-07-28 12:54:11,2023-07-28 12:54:11,90,,2,9,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 2 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\iftek\Zotero\storage\YK3XASD5\Klimova - 2019 - Impact of Mobile Learning on Students’ Achievement.pdf,,,mobile learning; achievement; English; needs analysis; smartphones; students’ performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3N4PUCJW,journalArticle,2019,"García-Martínez, Inmaculada; Fernández-Batanero, José María; Cobos Sanchiz, David; Luque de la Rosa, Antonio",Using Mobile Devices for Improving Learning Outcomes and Teachers’ Professionalization,Sustainability,,2071-1050,10.3390/su11246917,https://www.mdpi.com/2071-1050/11/24/6917,"Teaching in higher education is changing due to the influence of technology. More and more technological tools are replacing old teaching methods and strategies. Thus, mobile devices are being positioned as a key tool for new ways of understanding educational practices. The present paper responds to a systematic review about the benefits that mobile devices have for university students’ learning. Using inclusion and exclusion criteria in the Web of Science and Scopus databases, 16 articles were selected to argue why Mobile learning (Mlearning) has become a modern innovative approach. The results point to an improvement in students’ learning through Mlearning, factors that encourage the use of mobile devices in universities have been identified, and effective mobile applications in improving teaching and learning processes have been presented. The inclusion of this methodology requires a new role for teachers, whose characterization is also specified.",2019-01,2023-07-28 12:54:18,2023-07-28 12:54:18,2023-07-28 12:54:18,6917,,24,11,,,,,,,,,,en,http://creativecommons.org/licenses/by/3.0/,,,,www.mdpi.com,,Number: 24 Publisher: Multidisciplinary Digital Publishing Institute,,C:\Users\iftek\Zotero\storage\C6UVCFME\García-Martínez et al. - 2019 - Using Mobile Devices for Improving Learning Outcom.pdf,,,mobile learning; higher education; Mobile APP; student centered learning; university students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUK29SMS,journalArticle,2019,"Kaliisa, Rogers; Palmer, Edward; Miller, Julia",Mobile learning in higher education: A comparative analysis of developed and developing country contexts,British Journal of Educational Technology,,1467-8535,10.1111/bjet.12583,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjet.12583,"The purpose of this paper is to compare and contrast characteristics of use and adoption of mobile learning in higher education in developed and developing countries. A comparative case study based on a survey questionnaire was conducted with 189 students (undergraduate and postgraduate) from Makerere University in Uganda and the University of Adelaide in Australia. The Unified Theory of Acceptance and Use of Technology (UTAUT) was employed as the theoretical framework. The results indicated that higher education students in developed and developing countries use a range of technologies for learning, with major differences between Uganda and Australia. The study concludes that mobile learning in higher education in developed and developing country contexts is still at an experimental stage with students using mobile devices in pedagogically limited ways.",2019,2023-07-28 12:54:57,2023-07-28 12:54:57,2023-07-28 12:54:57,546-561,,2,50,,,Mobile learning in higher education,,,,,,,en,© 2017 British Educational Research Association,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/bjet.12583,,C:\Users\iftek\Zotero\storage\Z59I9UP3\bjet.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
